	PassengerId	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked	Title	Survived
192	193	3	0	4	1	0	4	0	3	1
193	194	2	1	4	1	1	4	0	2	1
194	195	1	0	5	0	0	4	2	4	1
195	196	1	0	5	0	0	5	2	3	1
196	197	3	1	4	0	0	4	1	1	0
197	198	3	1	4	0	1	4	0	1	0
198	199	3	0	4	0	0	4	1	3	1
199	200	2	0	4	0	0	4	0	3	0
200	201	3	1	4	0	0	4	0	1	0
201	202	3	1	4	8	2	5	0	1	0
202	203	3	1	4	0	0	4	0	1	0
203	204	3	1	5	0	0	4	2	1	0
204	205	3	1	4	0	0	4	0	1	1
205	206	3	0	4	0	1	4	0	3	0
206	207	3	1	4	1	0	4	0	1	0
207	208	3	1	4	0	0	4	2	1	1
208	209	3	0	4	0	0	4	1	3	1
209	210	1	1	4	0	0	4	2	1	1
210	211	3	1	4	0	0	4	0	1	0
211	212	2	0	4	0	0	4	0	3	1
212	213	3	1	4	0	0	4	0	1	0
213	214	2	1	4	0	0	4	0	1	0
214	215	3	1	4	1	0	4	1	1	0
215	216	1	0	4	1	0	5	2	3	1
216	217	3	0	4	0	0	4	0	3	1
217	218	2	1	4	1	0	4	0	1	0
218	219	1	0	4	0	0	5	2	3	1
219	220	2	1	4	0	0	4	0	1	0
220	221	3	1	4	0	0	4	0	1	1
221	222	2	1	4	0	0	4	0	1	0
222	223	3	1	5	0	0	4	0	1	0
223	224	3	1	4	0	0	4	0	1	0
224	225	1	1	4	1	0	5	0	1	1
225	226	3	1	4	0	0	4	0	1	0
226	227	2	1	4	0	0	4	0	1	1
227	228	3	1	4	0	0	4	0	1	0
228	229	2	1	4	0	0	4	0	1	0
229	230	3	0	4	3	1	4	0	3	0
230	231	1	0	4	1	0	5	0	4	1
231	232	3	1	4	0	0	4	0	1	0
232	233	2	1	5	0	0	4	0	1	0
233	234	3	0	4	4	2	4	0	3	1
234	235	2	1	4	0	0	4	0	1	0
235	236	3	0	4	0	0	4	0	3	0
236	237	2	1	5	1	0	4	0	1	0
237	238	2	0	4	0	2	4	0	3	1
238	239	2	1	4	0	0	4	0	1	0
239	240	2	1	4	0	0	4	0	1	0
240	241	3	0	4	1	0	4	2	3	0
241	242	3	0	4	1	0	4	1	3	1
242	243	2	1	4	0	0	4	0	1	0
243	244	3	1	4	0	0	4	0	1	0
244	245	3	1	4	0	0	4	2	1	0
245	246	1	1	5	2	0	5	1	0	0
246	247	3	0	4	0	0	4	0	3	0
247	248	2	0	4	0	2	4	0	4	1
248	249	1	1	4	1	1	5	0	1	1
249	250	2	1	5	1	0	4	0	0	0
250	251	3	1	4	0	0	4	0	1	0
251	252	3	0	4	1	1	4	0	4	0
252	253	1	1	5	0	0	4	0	1	0
253	254	3	1	4	1	0	4	0	1	0
254	255	3	0	4	0	2	4	0	4	0
255	256	3	0	4	0	2	4	2	4	1
256	257	1	0	4	0	0	5	2	4	1
257	258	1	0	4	0	0	5	0	3	1
258	259	1	0	4	0	0	5	2	3	1
259	260	2	0	5	0	1	4	0	4	1
260	261	3	1	4	0	0	4	1	1	0
261	262	3	1	4	4	2	4	0	2	1
262	263	1	1	5	1	1	5	0	1	0
263	264	1	1	4	0	0	4	0	1	0
264	265	3	0	4	0	0	4	1	3	0
265	266	2	1	4	0	0	4	0	1	0
266	267	3	1	4	4	1	4	0	1	0
267	268	3	1	4	1	0	4	0	1	1
268	269	1	0	5	0	1	5	0	4	1
269	270	1	0	4	0	0	5	0	3	1
270	271	1	1	4	0	0	4	0	1	0
271	272	3	1	4	0	0	4	0	1	1
272	273	2	0	4	0	1	4	0	4	1
273	274	1	1	4	0	1	4	2	1	0
274	275	3	0	4	0	0	4	1	3	1
275	276	1	0	5	1	0	5	0	3	1
276	277	3	0	5	0	0	4	0	3	0
277	278	2	1	4	0	0	4	0	1	0
278	279	3	1	4	4	1	4	1	2	0
279	280	3	0	4	1	1	4	0	4	1
280	281	3	1	5	0	0	4	1	1	0
281	282	3	1	4	0	0	4	0	1	0
282	283	3	1	4	0	0	4	0	1	0
283	284	3	1	4	0	0	4	0	1	1
284	285	1	1	4	0	0	4	0	1	0
285	286	3	1	4	0	0	4	2	1	0
286	287	3	1	4	0	0	4	0	1	1
287	288	3	1	4	0	0	4	0	1	0
288	289	2	1	4	0	0	4	0	1	1
289	290	3	0	4	0	0	4	1	3	1
290	291	1	0	4	0	0	5	0	3	1
291	292	1	0	4	1	0	5	2	4	1
292	293	2	1	4	0	0	4	2	1	0
293	294	3	0	4	0	0	4	0	3	0
294	295	3	1	4	0	0	4	0	1	0
295	296	1	1	5	0	0	4	2	1	0
296	297	3	1	4	0	0	4	2	1	0
297	298	1	0	4	1	2	5	0	3	0
298	299	1	1	4	0	0	4	0	1	1
299	300	1	0	5	0	1	5	2	4	1
300	301	3	0	5	0	0	4	1	3	1
301	302	3	1	4	2	0	4	1	1	1
302	303	3	1	4	0	0	4	0	1	0
303	304	2	0	4	0	0	4	1	3	1
304	305	3	1	4	0	0	4	0	1	0
305	306	1	1	4	1	2	5	0	2	1
306	307	1	0	4	0	0	5	2	3	1
307	308	1	0	4	1	0	5	2	4	1
308	309	2	1	4	1	0	4	2	1	0
309	310	1	0	4	0	0	5	2	3	1
310	311	1	0	4	0	0	5	2	3	1
311	312	1	0	4	2	2	5	2	3	1
312	313	2	0	4	1	1	4	0	4	0
313	314	3	1	4	0	0	4	0	1	0
314	315	2	1	4	1	1	4	0	1	0
315	316	3	0	4	0	0	4	0	3	1
316	317	2	0	4	1	0	4	0	4	1
317	318	2	1	5	0	0	4	0	0	0
318	319	1	0	4	0	2	5	0	3	1
319	320	1	0	4	1	1	5	2	4	1
320	321	3	1	4	0	0	4	0	1	0
321	322	3	1	4	0	0	4	0	1	0
322	323	2	0	4	0	0	4	1	3	1
323	324	2	0	4	1	1	4	0	4	1
324	325	3	1	4	8	2	5	0	1	0
325	326	1	0	4	0	0	5	2	3	1
326	327	3	1	5	0	0	4	0	1	0
327	328	2	0	4	0	0	4	0	4	1
328	329	3	0	4	1	1	4	0	4	1
329	330	1	0	4	0	1	5	2	3	1
330	331	3	0	4	2	0	4	1	3	1
331	332	1	1	5	0	0	4	0	1	0
332	333	1	1	4	0	1	5	0	1	0
333	334	3	1	4	2	0	4	0	1	0
334	335	1	0	5	1	0	5	0	4	1
335	336	3	1	4	0	0	4	0	1	0
336	337	1	1	4	1	0	5	0	1	0
337	338	1	0	4	0	0	5	2	3	1
338	339	3	1	5	0	0	4	0	1	1
339	340	1	1	5	0	0	4	0	1	0
340	341	2	1	4	1	1	4	0	2	1
341	342	1	0	4	3	2	5	0	3	1
342	343	2	1	4	0	0	4	0	1	0
343	344	2	1	4	0	0	4	0	1	0
344	345	2	1	4	0	0	4	0	1	0
345	346	2	0	4	0	0	4	0	3	1
346	347	2	0	4	0	0	4	0	3	1
347	348	3	0	4	1	0	4	0	4	1
348	349	3	1	4	1	1	4	0	2	1
349	350	3	1	4	0	0	4	0	1	0
350	351	3	1	4	0	0	4	0	1	0
351	352	1	1	4	0	0	4	0	1	0
352	353	3	1	4	1	1	4	2	1	0
353	354	3	1	4	1	0	4	0	1	0
354	355	3	1	4	0	0	4	2	1	0
355	356	3	1	4	0	0	4	0	1	0
356	357	1	0	4	0	1	5	0	3	1
357	358	2	0	4	0	0	4	0	3	0
358	359	3	0	5	0	0	4	1	3	1
359	360	3	0	4	0	0	4	1	3	1
360	361	3	1	4	1	4	4	0	1	0
361	362	2	1	4	1	0	4	2	1	0
362	363	3	0	5	0	1	4	2	4	0
363	364	3	1	4	0	0	4	0	1	0
364	365	3	1	4	1	0	4	1	1	0
365	366	3	1	4	0	0	4	0	1	0
366	367	1	0	5	1	0	5	2	4	1
367	368	3	0	4	0	0	4	2	4	1
368	369	3	0	4	0	0	4	1	3	1
369	370	1	0	4	0	0	5	2	4	1
370	371	1	1	4	1	0	5	2	1	1
371	372	3	1	4	1	0	4	0	1	0
372	373	3	1	4	0	0	4	0	1	0
373	374	1	1	4	0	0	5	2	1	0
374	375	3	0	4	3	1	4	0	3	0
375	376	1	0	4	1	0	5	2	4	1
376	377	3	0	4	0	0	4	0	3	1
377	378	1	1	4	0	2	5	2	1	0
378	379	3	1	4	0	0	4	2	1	0
379	380	3	1	4	0	0	4	0	1	0
380	381	1	0	4	0	0	5	2	3	1
381	382	3	0	4	0	2	4	2	3	1
382	383	3	1	4	0	0	4	0	1	0
383	384	1	0	4	1	0	4	0	4	1
384	385	3	1	4	0	0	4	0	1	0
385	386	2	1	4	0	0	5	0	1	0
386	387	3	1	4	5	2	4	0	2	0
387	388	2	0	4	0	0	4	0	3	1
388	389	3	1	4	0	0	4	1	1	0
389	390	2	0	4	0	0	4	2	3	1
390	391	1	1	4	1	2	5	0	1	1
391	392	3	1	4	0	0	4	0	1	1
392	393	3	1	4	2	0	4	0	1	0
393	394	1	0	4	1	0	5	2	3	1
394	395	3	0	4	0	2	4	0	4	1
395	396	3	1	4	0	0	4	0	1	0
396	397	3	0	4	0	0	4	0	3	0
397	398	2	1	5	0	0	4	0	1	0
398	399	2	1	4	0	0	4	0	0	0
399	400	2	0	4	0	0	4	0	4	1
400	401	3	1	4	0	0	4	0	1	1
401	402	3	1	4	0	0	4	0	1	0
402	403	3	0	4	1	0	4	0	3	0
403	404	3	1	4	1	0	4	0	1	0
404	405	3	0	4	0	0	4	0	3	0
405	406	2	1	4	1	0	4	0	1	0
406	407	3	1	5	0	0	4	0	1	0
407	408	2	1	4	1	1	4	0	2	1
408	409	3	1	4	0	0	4	0	1	0
409	410	3	0	4	3	1	4	0	3	0
410	411	3	1	4	0	0	4	0	1	0
411	412	3	1	4	0	0	4	1	1	0
412	413	1	0	4	1	0	5	1	3	1
413	414	2	1	4	0	0	4	0	1	0
414	415	3	1	5	0	0	4	0	1	1
415	416	3	0	4	0	0	4	0	4	0
416	417	2	0	4	1	1	4	0	4	1
417	418	2	0	4	0	2	4	0	3	1
418	419	2	1	4	0	0	4	0	1	0
419	420	3	0	4	0	2	4	0	3	0
420	421	3	1	4	0	0	4	2	1	0
421	422	3	1	4	0	0	4	1	1	0
422	423	3	1	4	0	0	4	0	1	0
423	424	3	0	4	1	1	4	0	4	0
424	425	3	1	4	1	1	4	0	1	0
425	426	3	1	4	0	0	4	0	1	0
426	427	2	0	4	1	0	4	0	4	1
427	428	2	0	4	0	0	4	0	3	1
428	429	3	1	4	0	0	4	1	1	0
429	430	3	1	4	0	0	4	0	1	1
430	431	1	1	4	0	0	4	0	1	1
431	432	3	0	4	1	0	4	0	4	1
432	433	2	0	4	1	0	4	0	4	1
433	434	3	1	4	0	0	4	0	1	0
434	435	1	1	5	1	0	5	0	1	0
435	436	1	0	4	1	2	5	0	3	1
436	437	3	0	4	2	2	4	0	3	0
437	438	2	0	4	2	3	4	0	4	1
438	439	1	1	5	1	4	5	0	1	0
439	440	2	1	4	0	0	4	0	1	0
440	441	2	0	5	1	1	4	0	4	1
441	442	3	1	4	0	0	4	0	1	0
442	443	3	1	4	1	0	4	0	1	0
443	444	2	0	4	0	0	4	0	3	1
444	445	3	1	4	0	0	4	0	1	1
445	446	1	1	4	0	2	5	0	2	1
446	447	2	0	4	0	1	4	0	3	1
447	448	1	1	4	0	0	4	0	1	1
448	449	3	0	4	2	1	4	2	3	1
449	450	1	1	5	0	0	4	0	0	1
450	451	2	1	4	1	2	4	0	1	0
451	452	3	1	4	1	0	4	0	1	0
452	453	1	1	4	0	0	4	2	1	0
453	454	1	1	5	1	0	5	2	1	1
454	455	3	1	4	0	0	4	0	1	0
455	456	3	1	4	0	0	4	2	1	1
456	457	1	1	5	0	0	4	0	1	0
457	458	1	0	4	1	0	4	0	4	1
458	459	2	0	5	0	0	4	0	3	1
459	460	3	1	4	0	0	4	1	1	0
460	461	1	1	5	0	0	4	0	1	1
461	462	3	1	4	0	0	4	0	1	0
462	463	1	1	5	0	0	4	0	1	0
463	464	2	1	5	0	0	4	0	1	0
464	465	3	1	4	0	0	4	0	1	0
465	466	3	1	4	0	0	4	0	1	0
466	467	2	1	4	0	0	4	0	1	0
467	468	1	1	5	0	0	4	0	1	0
468	469	3	1	4	0	0	4	1	1	0
469	470	3	0	4	2	1	4	2	3	1
470	471	3	1	4	0	0	4	0	1	0
471	472	3	1	4	0	0	4	0	1	0
472	473	2	0	4	1	2	4	0	4	1
473	474	2	0	4	0	0	4	2	4	1
474	475	3	0	4	0	0	4	0	3	0
475	476	1	1	4	0	0	4	0	1	0
476	477	2	1	4	1	0	4	0	1	0
477	478	3	1	4	1	0	4	0	1	0
478	479	3	1	4	0	0	4	0	1	0
479	480	3	0	4	0	1	4	0	3	1
480	481	3	1	4	5	2	4	0	2	0
481	482	2	1	4	0	0	4	0	1	0
482	483	3	1	5	0	0	4	0	1	0
483	484	3	0	5	0	0	4	0	4	1
484	485	1	1	4	1	0	5	2	1	1
485	486	3	0	4	3	1	4	0	3	0
486	487	1	0	4	1	0	5	0	4	1
487	488	1	1	5	0	0	4	2	1	0
488	489	3	1	4	0	0	4	0	1	0
489	490	3	1	4	1	1	4	0	2	1
490	491	3	1	4	1	0	4	0	1	0
491	492	3	1	4	0	0	4	0	1	0
492	493	1	1	5	0	0	4	0	1	0
493	494	1	1	5	0	0	4	2	1	0
494	495	3	1	4	0	0	4	0	1	0
495	496	3	1	4	0	0	4	2	1	0
496	497	1	0	5	1	0	5	2	3	1
497	498	3	1	4	0	0	4	0	1	0
498	499	1	0	4	1	2	5	0	4	0
499	500	3	1	4	0	0	4	0	1	0
500	501	3	1	4	0	0	4	0	1	0
501	502	3	0	4	0	0	4	1	3	0
502	503	3	0	4	0	0	4	1	3	0
503	504	3	0	4	0	0	4	0	3	0
504	505	1	0	4	0	0	5	0	3	1
505	506	1	1	4	1	0	5	2	1	0
506	507	2	0	4	0	2	4	0	4	1
507	508	1	1	5	0	0	4	0	1	1
508	509	3	1	4	0	0	4	0	1	0
509	510	3	1	4	0	0	5	0	1	1
510	511	3	1	4	0	0	4	1	1	1
511	512	3	1	4	0	0	4	0	1	0
512	513	1	1	4	0	0	4	0	1	1
513	514	1	0	5	1	0	5	2	4	1
514	515	3	1	4	0	0	4	0	1	0
515	516	1	1	5	0	0	4	0	1	0
516	517	2	0	4	0	0	4	0	4	1
517	518	3	1	4	0	0	4	1	1	0
518	519	2	0	4	1	0	4	0	4	1
519	520	3	1	4	0	0	4	0	1	0
520	521	1	0	4	0	0	5	0	3	1
521	522	3	1	4	0	0	4	0	1	0
522	523	3	1	4	0	0	4	2	1	0
523	524	1	0	5	0	1	5	2	4	1
524	525	3	1	4	0	0	4	2	1	0
525	526	3	1	4	0	0	4	1	1	0
526	527	2	0	5	0	0	4	0	3	1
527	528	1	1	5	0	0	5	0	1	0
528	529	3	1	4	0	0	4	0	1	0
529	530	2	1	4	2	1	4	0	1	0
530	531	2	0	4	1	1	4	0	3	1
531	532	3	1	4	0	0	4	2	1	0
532	533	3	1	4	1	1	4	2	1	0
533	534	3	0	4	0	2	4	2	4	1
534	535	3	0	4	0	0	4	0	3	0
535	536	2	0	4	0	2	4	0	3	1
536	537	1	1	5	0	0	4	0	0	0
537	538	1	0	4	0	0	5	2	3	1
538	539	3	1	4	0	0	4	0	1	0
539	540	1	0	4	0	2	4	2	3	1
540	541	1	0	4	0	2	5	0	3	1
541	542	3	0	4	4	2	4	0	3	0
542	543	3	0	4	4	2	4	0	3	0
543	544	2	1	4	1	0	4	0	1	1
544	545	1	1	5	1	0	5	2	1	0
545	546	1	1	5	0	0	4	0	1	0
546	547	2	0	4	1	0	4	0	4	1
547	548	2	1	4	0	0	4	2	1	1
548	549	3	1	4	1	1	4	0	1	0
549	550	2	1	4	1	1	4	0	2	1
550	551	1	1	4	0	2	5	2	1	1
551	552	2	1	4	0	0	4	0	1	0
552	553	3	1	4	0	0	4	1	1	0
553	554	3	1	4	0	0	4	2	1	1
554	555	3	0	4	0	0	4	0	3	1
555	556	1	1	5	0	0	4	0	1	0
556	557	1	0	5	1	0	4	2	0	1
557	558	1	1	4	0	0	5	2	1	0
558	559	1	0	4	1	1	5	0	4	1
559	560	3	0	4	1	0	4	0	4	1
560	561	3	1	4	0	0	4	1	1	0
561	562	3	1	4	0	0	4	0	1	0
562	563	2	1	4	0	0	4	0	1	0
563	564	3	1	4	0	0	4	0	1	0
564	565	3	0	4	0	0	4	0	3	0
565	566	3	1	4	2	0	4	0	1	0
566	567	3	1	4	0	0	4	0	1	0
567	568	3	0	4	0	4	4	0	4	0
568	569	3	1	4	0	0	4	2	1	0
569	570	3	1	4	0	0	4	0	1	1
570	571	2	1	5	0	0	4	0	1	1
571	572	1	0	5	2	0	4	0	4	1
572	573	1	1	4	0	0	4	0	1	1
573	574	3	0	4	0	0	4	1	3	1
574	575	3	1	4	0	0	4	0	1	0
575	576	3	1	4	0	0	4	0	1	0
576	577	2	0	4	0	0	4	0	3	1
577	578	1	0	4	1	0	5	0	4	1
578	579	3	0	5	1	0	4	2	4	0
579	580	3	1	4	0	0	4	0	1	1
580	581	2	0	4	1	1	4	0	3	1
581	582	1	0	4	1	1	5	2	4	1
582	583	2	1	5	0	0	4	0	1	0
583	584	1	1	4	0	0	4	2	1	0
584	585	3	1	4	0	0	4	2	1	0
585	586	1	0	4	0	2	5	0	3	1
586	587	2	1	5	0	0	4	0	1	0
587	588	1	1	5	1	1	5	2	1	1
588	589	3	1	4	0	0	4	0	1	0
589	590	3	1	4	0	0	4	0	1	0
590	591	3	1	4	0	0	4	0	1	0
591	592	1	0	5	1	0	5	2	4	1
592	593	3	1	5	0	0	4	0	1	0
593	594	3	0	4	0	2	4	1	3	0
594	595	2	1	4	1	0	4	0	1	0
595	596	3	1	4	1	1	4	0	1	0
596	597	2	0	5	0	0	4	0	3	1
597	598	3	1	5	0	0	4	0	1	0
598	599	3	1	4	0	0	4	2	1	0
599	600	1	1	5	1	0	5	2	0	1
600	601	2	0	4	2	1	4	0	4	1
601	602	3	1	4	0	0	4	0	1	0
602	603	1	1	5	0	0	4	0	1	0
603	604	3	1	5	0	0	4	0	1	0
604	605	1	1	4	0	0	4	2	1	1
605	606	3	1	4	1	0	4	0	1	0
606	607	3	1	4	0	0	4	0	1	0
607	608	1	1	4	0	0	4	0	1	1
608	609	2	0	4	1	2	4	2	4	1
609	610	1	0	4	0	0	5	0	3	1
610	611	3	0	4	1	5	4	0	4	0
611	612	3	1	4	0	0	4	0	1	0
612	613	3	0	4	1	0	4	1	3	1
613	614	3	1	4	0	0	4	1	1	0
614	615	3	1	4	0	0	4	0	1	0
615	616	2	0	4	1	2	5	0	3	1
616	617	3	1	4	1	1	4	0	1	0
617	618	3	0	4	1	0	4	0	4	0
618	619	2	0	4	2	1	4	0	3	1
619	620	2	1	4	0	0	4	0	1	0
620	621	3	1	4	1	0	4	2	1	0
621	622	1	1	4	1	0	5	0	1	1
622	623	3	1	4	1	1	4	2	1	1
623	624	3	1	4	0	0	4	0	1	0
624	625	3	1	4	0	0	4	0	1	0
625	626	1	1	5	0	0	4	0	1	0
626	627	2	1	5	0	0	4	1	0	0
627	628	1	0	4	0	0	5	0	3	1
628	629	3	1	4	0	0	4	0	1	0
629	630	3	1	4	0	0	4	1	1	0
630	631	1	1	5	0	0	4	0	1	1
631	632	3	1	5	0	0	4	0	1	0
